TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ar.edu.unrc.game2048.Cell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9482638888888889,193,184
ar.edu.unrc.game2048.Cell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9482638888888889,193,184
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9535738155121998,1235,1189
ar.edu.unrc.game2048.MainCLI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8812271709673618,176,156
ar.edu.unrc.game2048.MainCLI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8799645447047356,176,155
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8942896094566353,1455,1273
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8974988064353403,1454,1278
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8962269844701474,1454,1277
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8906937988685908,1455,1271
ar.edu.unrc.game2048.Cell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9126164049129166,281,256
