GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
2048-game,ar.edu.unrc.game2048.strategy,RightMoveStrategy,0,48,0,4,0,8,0,5,0,3
2048-game,ar.edu.unrc.game2048.strategy,DownMoveStrategy,0,48,0,4,0,8,0,5,0,3
2048-game,ar.edu.unrc.game2048.strategy,LeftMoveStrategy,0,41,0,4,0,8,0,5,0,3
2048-game,ar.edu.unrc.game2048.strategy,UpMoveStrategy,0,41,0,4,0,8,0,5,0,3
2048-game,ar.edu.unrc.game2048,Cell,7,164,3,33,1,28,3,25,0,10
2048-game,ar.edu.unrc.game2048,Board.Position,2,71,2,8,0,10,2,7,0,4
2048-game,ar.edu.unrc.game2048,Board.Direction,0,27,0,0,0,2,0,1,0,1
2048-game,ar.edu.unrc.game2048,Board,95,805,30,106,11,148,30,65,2,25
2048-game,ar.edu.unrc.game2048,MainCLI,202,0,23,0,52,0,21,0,8,0
2048-game,ar.edu.unrc.game2048.RandomNumGeneration,DeterministicRandom,0,42,1,3,0,9,1,3,0,2
2048-game,ar.edu.unrc.game2048.RandomNumGeneration,MathRandom,10,0,0,0,4,0,2,0,2,0
